size,beadsort,radixsort,binarysort

1,0.0333333,0,0
250,18.0667,0.1,0.666667
500,32.9667,0.3,2.33333
750,50.3333,0.333333,5.06667
1000,68.5,0.433333,8.2
1250,83.4667,0.5,12.1333
1500,97.6667,0.633333,17.2
1750,114.533,0.7,21.6333
2000,130.133,0.833333,27.2
2250,149.067,0.933333,31.9667
2500,162.867,1.03333,39.3333
